time,LST_Day_1km,soil_moisture,prcp,days_missing
2002-07-17,302.52,169.0,0.0539999976754,
2002-07-19,305.86,183.0,0.102000005543,2.0
2002-09-05,307.04,177.0,0.0,48.0
2002-11-02,282.54,154.0,0.0,58.0
2002-11-06,287.42,164.0,0.0,4.0
2002-11-07,288.42,163.0,3.85813236237,1.0
2002-11-08,284.02,185.0,4.56217098236,1.0
2002-11-11,288.46,158.0,0.0,3.0
2002-11-12,289.74,160.0,0.0,1.0
2002-11-13,288.6,164.0,0.0,1.0
2002-11-14,289.26,152.0,7.65055418015,1.0
2002-11-18,288.92,151.0,3.4169344902,4.0
2002-11-21,291.6,156.0,1.03259015083,3.0
2002-11-22,284.64,154.0,0.0,1.0
2002-11-23,286.08,150.0,0.0,1.0
2002-11-24,289.74,165.0,10.5042591095,1.0
2002-11-28,282.16,155.0,2.28108549118,4.0
2002-11-29,286.08,150.0,0.0,1.0
2002-12-01,282.16,148.0,0.519249737263,2.0
2002-12-02,284.72,145.0,1.05333518982,1.0
2002-12-06,278.88,191.0,0.0,4.0
2002-12-07,281.24,237.0,0.0,1.0
2002-12-14,283.74,157.0,0.0,7.0
2002-12-15,287.36,156.0,0.949485301971,1.0
2002-12-16,289.08,142.0,0.0,1.0
2002-12-17,287.76,144.0,0.0,1.0
2002-12-25,279.4,169.0,0.0,8.0
2002-12-29,289.14,198.0,0.0,4.0
2003-01-05,285.52,160.0,0.99139893055,7.0
2003-01-07,280.62,160.0,0.495699465275,2.0
2003-01-08,282.44,161.0,8.39935207367,1.0
2003-01-09,291.16,171.0,8.78489494324,1.0
2003-01-10,282.6,154.0,11.5387811661,1.0
2003-01-14,285.66,158.0,0.454391151667,4.0
2003-01-15,279.7,156.0,7.13256406784,1.0
2003-01-17,277.16,162.0,6.1411652565,2.0
2003-01-18,277.5,159.0,0.0,1.0
2003-01-19,279.66,191.0,0.0,1.0
2003-01-23,268.08,158.0,0.220310866833,4.0
2003-01-27,278.68,170.0,1.43202066422,4.0
2003-02-02,287.66,163.0,0.0,6.0
2003-02-04,283.74,157.0,1.54970049858,2.0
2003-02-11,286.02,179.0,0.0,7.0
2003-02-12,289.34,185.0,0.0,1.0
2003-02-24,282.82,173.0,0.0,12.0
2003-03-10,285.74,176.0,0.0,14.0
2003-03-12,297.32,186.0,0.577923536301,2.0
2003-03-19,295.78,178.0,3.37122058868,7.0
2003-03-20,299.08,174.0,0.577923536301,1.0
2003-03-23,291.58,191.0,0.553843379021,3.0
2003-03-24,297.98,183.0,0.0,1.0
2003-03-31,291.46,190.0,0.264881640673,7.0
2003-04-01,297.12,215.0,0.0,1.0
2003-04-02,295.9,184.0,0.327006340027,1.0
2003-04-05,293.24,188.0,0.981019020081,3.0
2003-04-11,292.86,193.0,1.79853487015,6.0
2003-04-13,300.64,202.0,1.96203804016,2.0
2003-04-14,300.64,198.0,0.0,1.0
2003-04-15,301.14,204.0,19.2933731079,1.0
2003-04-17,299.24,212.0,0.0,2.0
2003-04-27,295.72,199.0,0.0,10.0
2003-04-29,297.56,201.0,0.0,2.0
2003-05-03,296.68,210.0,0.0,4.0
2003-06-02,298.6,168.0,0.0,30.0
2003-06-20,301.3,173.0,0.227999985218,18.0
2003-08-07,299.16,175.0,0.0,48.0
2003-08-23,302.1,173.0,0.0,16.0
2003-09-08,300.22,182.0,0.19190326333,16.0
2003-09-24,295.76,180.0,0.0,16.0
2003-10-24,300.84,167.0,0.289510726929,30.0
2003-11-09,291.84,159.0,0.0,16.0
2003-11-11,296.66,165.0,0.0,2.0
2003-11-19,288.48,155.0,7.20492649078,8.0
2003-11-21,293.08,158.0,1.35602927208,2.0
2003-11-24,282.78,152.0,4.80328416824,3.0
2003-11-28,283.36,146.0,0.0,4.0
2003-11-30,287.68,146.0,0.0,2.0
2003-12-11,281.36,148.0,0.0,11.0
2003-12-27,287.16,145.0,0.0,16.0
2004-01-10,278.88,156.0,0.0,14.0
2004-01-11,281.34,161.0,0.485412180424,1.0
2004-01-21,283.08,165.0,0.0,10.0
2004-01-22,283.22,157.0,0.0,1.0
2004-01-31,278.44,157.0,0.0,9.0
2004-02-03,281.74,158.0,0.0,3.0
2004-02-04,281.64,164.0,0.0,1.0
2004-02-16,279.66,160.0,0.0,12.0
2004-02-21,289.18,168.0,10.9347915649,5.0
2004-02-22,283.6,171.0,0.0,1.0
2004-02-27,285.02,169.0,7.40557384491,5.0
2004-02-28,288.02,167.0,0.0,1.0
2004-03-06,290.48,187.0,0.0,7.0
2004-03-07,295.28,184.0,0.0,1.0
2004-03-08,290.66,179.0,0.0,1.0
2004-03-09,292.92,187.0,0.519954681396,1.0
2004-03-10,287.08,174.0,0.0,1.0
2004-03-12,291.08,181.0,0.0,2.0
2004-03-16,294.92,176.0,0.0,4.0
2004-03-17,294.44,183.0,0.0,1.0
2004-03-21,291.5,188.0,0.0,4.0
2004-03-22,289.42,187.0,0.244684547186,1.0
2004-03-23,291.28,180.0,0.0,1.0
2004-03-24,293.16,179.0,0.397612392902,1.0
2004-03-26,298.52,179.0,16.5162067413,2.0
2004-03-28,296.28,181.0,3.39499807358,2.0
2004-04-01,291.94,197.0,0.17788156867,4.0
2004-04-02,293.36,183.0,0.133411183953,1.0
2004-04-03,295.96,218.0,0.0,1.0
2004-04-04,292.4,188.0,0.0,1.0
2004-04-09,297.76,186.0,4.02457046509,5.0
2004-04-15,296.16,203.0,4.93621397018,6.0
2004-04-16,299.3,194.0,1.91222691536,1.0
2004-04-17,299.64,201.0,0.0,1.0
2004-04-19,295.28,213.0,0.0,2.0
2004-05-05,300.96,221.0,0.22857567668,16.0
2004-06-22,300.38,178.0,0.0,48.0
2004-07-24,303.58,170.0,0.0,32.0
2004-08-25,300.66,178.0,0.0,32.0
2004-09-10,301.24,178.0,0.0,16.0
2004-09-26,300.22,185.0,0.134489178658,16.0
2004-10-12,295.8,183.0,0.0,16.0
2004-10-15,292.38,178.0,1.45907783508,3.0
2004-10-16,293.66,180.0,1.39828300476,1.0
2004-10-17,295.54,179.0,0.0,1.0
2004-10-24,297.22,177.0,0.0,7.0
2004-10-28,298.76,185.0,0.790333867073,4.0
2004-10-29,297.96,164.0,4.94465255737,1.0
2004-11-05,288.94,159.0,10.6494283676,7.0
2004-11-07,293.54,165.0,0.0,2.0
2004-11-17,288.6,151.0,0.0,10.0
2004-11-25,280.76,150.0,0.0,8.0
2004-11-26,286.86,147.0,0.0,1.0
2004-11-28,277.64,144.0,0.0,2.0
2004-12-02,283.7,147.0,0.0,4.0
2004-12-04,289.18,151.0,8.15085506439,2.0
2004-12-07,291.4,144.0,43.3026313782,3.0
2004-12-12,283.64,139.0,0.0,5.0
2004-12-13,285.3,148.0,0.0,1.0
2004-12-14,278.6,139.0,2.41218614578,1.0
2004-12-15,279.76,151.0,4.82437229156,1.0
2004-12-16,280.1,142.0,0.0,1.0
2004-12-18,286.44,142.0,0.0,2.0
2004-12-20,278.1,145.0,1.67296779156,2.0
2004-12-27,282.04,149.0,0.0,7.0
2004-12-28,281.72,172.0,6.59460544586,1.0
2005-01-14,283.42,174.0,0.0,17.0
2005-01-16,282.04,179.0,0.0,2.0
2005-01-23,276.76,162.0,0.0,7.0
2005-01-24,279.28,163.0,0.0,1.0
2005-02-04,284.78,162.0,0.0,11.0
2005-02-11,283.9,165.0,0.0,7.0
2005-02-18,284.98,174.0,0.0,7.0
2005-02-25,278.46,166.0,10.2989969254,7.0
2005-03-01,283.16,172.0,10.305223465,4.0
2005-03-04,287.26,165.0,18.6594581604,3.0
2005-03-05,290.84,192.0,0.0,1.0
2005-03-08,285.18,176.0,0.0,3.0
2005-03-11,291.28,173.0,0.300152152777,3.0
2005-03-12,297.3,183.0,0.0,1.0
2005-03-13,297.54,170.0,0.0,1.0
2005-03-26,300.04,185.0,0.0,13.0
2005-03-28,292.8,204.0,0.425215601921,2.0
2005-03-29,296.78,194.0,0.0,1.0
2005-04-02,290.26,193.0,0.179999992251,4.0
2005-04-03,297.12,193.0,0.0,1.0
2005-04-09,297.68,197.0,1.25999999046,6.0
2005-04-12,296.94,194.0,0.0899999961257,3.0
2005-04-13,291.3,201.0,0.0899999961257,1.0
2005-04-16,294.66,203.0,0.0,3.0
2005-04-18,297.84,197.0,0.0899999961257,2.0
2005-04-20,299.06,200.0,2.15999984741,2.0
2005-04-22,297.02,218.0,0.0,2.0
2005-05-08,297.92,222.0,0.0,16.0
2005-05-24,304.58,201.0,0.0707059204578,16.0
2005-06-09,300.66,188.0,0.0,16.0
2005-07-01,302.94,171.0,0.0599999986589,22.0
2005-07-02,297.74,171.0,0.0,1.0
2005-07-18,297.74,171.0,0.0240000002086,16.0
2005-08-16,304.78,166.0,0.0414733961225,29.0
2005-09-13,303.56,184.0,0.0,28.0
2005-09-18,301.88,162.0,14.1144304276,5.0
2005-09-20,305.5,182.0,0.0,2.0
2005-10-15,299.62,185.0,0.0,25.0
2005-10-20,301.26,164.0,0.0,5.0
2005-11-07,300.66,159.0,0.0,18.0
2005-11-22,285.98,148.0,2.08296251297,15.0
2005-11-23,289.48,156.0,11.6393432617,1.0
2005-11-24,292.96,151.0,1.98197042942,1.0
2005-11-29,285.06,152.0,13.9242897034,5.0
2005-11-30,285.52,150.0,0.0,1.0
2005-12-02,283.92,160.0,3.2711482048,2.0
2005-12-06,281.82,143.0,0.0,4.0
2005-12-09,277.86,143.0,0.610614299774,3.0
2005-12-18,282.22,152.0,0.0,9.0
2005-12-21,280.96,140.0,4.57960748672,3.0
2005-12-22,281.72,140.0,0.0,1.0
2005-12-23,283.28,147.0,0.0,1.0
2005-12-26,283.52,142.0,0.0,3.0
2005-12-31,284.62,151.0,1.13399803638,5.0
2006-01-03,288.8,165.0,0.0,3.0
2006-01-07,282.3,154.0,9.01476669312,4.0
2006-01-08,289.96,165.0,4.9263792038,1.0
2006-01-11,283.38,157.0,0.0,3.0
2006-01-18,283.5,160.0,0.0,7.0
2006-01-19,289.1,182.0,2.92027640343,1.0
2006-01-24,287.6,168.0,0.0,5.0
2006-01-25,285.96,165.0,0.0,1.0
2006-01-26,284.9,171.0,2.92027640343,1.0
2006-01-27,284.04,166.0,2.92027640343,1.0
2006-01-29,290.68,161.0,3.73287510872,2.0
2006-01-31,288.1,173.0,25.012802124,2.0
2006-02-04,282.68,179.0,5.03700733185,4.0
2006-02-05,280.34,162.0,6.52755069733,1.0
2006-02-07,283.04,166.0,0.0,2.0
2006-02-08,285.74,159.0,0.0,1.0
2006-02-09,282.9,163.0,0.0,1.0
2006-02-11,282.44,163.0,0.0,2.0
2006-02-24,288.42,176.0,8.39501285553,13.0
2006-02-26,284.0,169.0,17.8008537292,2.0
2006-03-04,291.34,165.0,0.350507438183,6.0
2006-03-06,293.44,183.0,0.0,2.0
2006-03-08,285.42,181.0,0.0,2.0
2006-03-14,291.4,183.0,0.0,6.0
2006-03-15,294.36,198.0,0.0,1.0
2006-03-21,291.02,173.0,1.66110062599,6.0
2006-03-24,285.8,204.0,0.0,3.0
2006-03-25,288.56,184.0,0.0,1.0
2006-03-27,292.72,179.0,0.0,2.0
2006-03-28,293.48,186.0,0.0,1.0
2006-03-29,297.2,196.0,0.0,1.0
2006-03-30,300.4,190.0,0.0,1.0
2006-04-05,293.16,198.0,0.696307718754,6.0
2006-04-09,294.16,215.0,0.139261543751,4.0
2006-04-10,296.32,194.0,0.0,1.0
2006-04-12,294.08,202.0,0.0,2.0
2006-04-13,301.54,198.0,0.0,1.0
2006-04-14,295.74,202.0,0.0,1.0
2006-04-16,300.84,201.0,0.0928410291672,2.0
2006-04-23,299.32,196.0,0.0928410291672,7.0
2006-05-11,295.5,223.0,1.53421711922,18.0
2006-05-18,300.76,207.0,0.0,7.0
2006-06-12,305.78,181.0,0.0,25.0
2006-06-28,306.5,174.0,0.06111664325,16.0
2006-07-21,308.26,168.0,0.0,23.0
2006-07-30,302.98,174.0,0.0,9.0
2006-08-31,302.14,177.0,0.0,32.0
2006-09-16,305.48,181.0,0.0,16.0
2006-10-02,302.02,188.0,0.0,16.0
2006-10-18,302.54,185.0,0.0,16.0
2006-10-23,289.64,169.0,0.515027284622,5.0
2006-11-02,285.64,164.0,0.399378508329,10.0
2006-11-03,287.6,185.0,19.3354301453,1.0
2006-11-07,289.74,166.0,0.275433450937,4.0
2006-11-08,293.22,166.0,0.0,1.0
2006-11-19,285.3,174.0,0.0,11.0
2006-11-22,288.84,155.0,0.385606825352,3.0
2006-11-23,289.26,155.0,0.385606825352,1.0
2006-11-24,293.08,160.0,0.0,1.0
2006-11-25,291.54,151.0,0.165260076523,1.0
2006-11-26,293.1,153.0,0.0,1.0
2006-12-01,281.18,145.0,0.0,5.0
2006-12-03,280.14,156.0,2.70191168785,2.0
2006-12-04,277.84,144.0,0.0,1.0
2006-12-05,285.0,165.0,0.0,1.0
2006-12-08,276.94,147.0,0.0,3.0
2006-12-09,278.76,150.0,0.0,1.0
2006-12-11,290.02,140.0,2.03402328491,2.0
2006-12-17,292.6,141.0,0.0,6.0
2006-12-19,291.86,147.0,0.0,2.0
2006-12-27,281.28,150.0,0.865218877792,8.0
2006-12-28,287.02,165.0,0.0,1.0
2007-01-02,283.0,152.0,0.0,5.0
2007-01-03,283.66,154.0,0.0,1.0
2007-01-06,290.86,174.0,0.0,3.0
2007-01-09,286.0,164.0,0.0,3.0
2007-01-10,283.4,169.0,0.0,1.0
2007-01-11,284.3,161.0,1.204641819,1.0
2007-01-25,283.26,170.0,1.46652054787,14.0
2007-01-28,279.74,163.0,4.08530712128,3.0
2007-01-29,280.08,173.0,7.54210567474,1.0
