time,LST_Day_1km,soil_moisture,prcp,days_missing
2002-06-27,300.58,85.0,0.0,
2002-07-03,299.82,87.0,0.0,6.0
2002-07-05,303.1,157.0,0.0,2.0
2002-07-06,304.16,157.0,0.0,1.0
2002-07-08,300.78,99.0,0.0,2.0
2002-07-16,307.42,121.0,0.0,8.0
2002-07-17,301.74,96.0,0.0,1.0
2002-07-19,307.0,92.0,0.0,2.0
2002-07-23,301.1,96.0,0.0,4.0
2002-08-08,303.52,145.0,0.0,16.0
2002-08-09,301.06,109.0,0.0,1.0
2002-08-11,303.52,103.0,0.0,2.0
2002-08-20,305.1,120.0,0.0,9.0
2002-08-23,303.02,85.0,0.0,3.0
2002-08-24,304.98,98.0,0.0,1.0
2002-09-05,303.24,153.0,0.0,12.0
2002-09-07,299.68,188.0,1.03821623325,2.0
2002-09-09,303.34,164.0,0.0,2.0
2002-09-10,304.9,155.0,0.0,1.0
2002-10-02,300.0,108.0,0.0,22.0
2002-10-04,295.62,110.0,0.0,2.0
2002-10-05,295.0,99.0,0.0840000063181,1.0
2002-10-07,300.2,104.0,0.0,2.0
2002-10-17,291.56,102.0,0.0,10.0
2002-10-18,292.58,120.0,0.0,1.0
2002-10-30,296.96,97.0,0.0,12.0
2002-11-01,290.6,100.0,0.0,2.0
2002-11-02,288.06,92.0,0.215999990702,1.0
2002-11-06,288.26,89.0,0.0,4.0
2002-11-08,290.4,97.0,0.0,2.0
2002-11-13,285.46,90.0,1.3259999752,5.0
2002-11-15,291.14,92.0,0.0,2.0
2002-11-18,285.76,90.0,1.75199997425,3.0
2002-11-21,291.4,97.0,0.0,3.0
2002-11-22,284.08,92.0,0.0,1.0
2002-11-24,290.46,104.0,0.0,2.0
2002-11-28,282.0,109.0,0.497999966145,4.0
2002-11-29,281.5,95.0,0.0,1.0
2002-12-01,280.76,104.0,0.0,2.0
2002-12-03,288.72,108.0,0.186000004411,2.0
2002-12-07,283.52,98.0,0.0,4.0
2002-12-15,282.36,104.0,0.0,8.0
2002-12-21,286.4,85.0,0.0299999993294,6.0
2002-12-28,284.48,121.0,0.0,7.0
2002-12-29,286.5,101.0,0.0,1.0
2003-01-04,281.62,123.0,0.0,6.0
